"date","inflation","inflation.expectations","interest","gdp.log"
1987-06-30,7.52870169623507,7.63310584903288,13.185,12.1284677971947
1987-09-30,6.74284682656912,7.63711059639899,11.802,12.1465030919335
1987-12-31,6.74284682656912,7.62966709966706,11.302,12.1665206775181
1988-03-31,6.74284682656912,7.63186747702207,10.867,12.1707925579034
1988-06-30,7.52870169623507,7.64074440681864,13.074,12.1714760247637
1988-09-30,6.74284682656912,7.60324823207753,13.067,12.17970300251
1988-12-31,6.74284682656912,7.50008810436495,14.589,12.1950723636713
1989-03-31,5.16649010661849,7.35135211147736,16.507,12.2053273678798
1989-06-30,6.34933966251607,7.1960878261016,17.728,12.2263555496318
1989-09-30,5.95544499750022,6.98226155641441,18.062,12.234446279718
1989-12-31,6.74284682656912,6.81091821751801,18.157,12.2316526691329
1990-03-31,6.74284682656912,6.6171249807545,16.425,12.2399425300378
1990-06-30,6.34933966251607,6.43485013099932,15.051,12.2413094719962
1990-09-30,5.16649010661849,6.28079263084636,14,12.2352964402066
1990-12-31,7.13596725133241,6.07518041626352,12.5789473684211,12.2411453444784
1991-03-31,3.18726785967075,5.84464638399733,12,12.2280933991994
1991-06-30,3.98013234126724,5.56600150069156,10.5,12.2268306986147
1991-09-30,4.37597601533371,5.23098387873501,9.54761904761905,12.2309310980269
1991-12-31,2.79024549457006,4.93771366326312,8.5,12.2316039307266
1992-03-31,1.59680850781498,4.69677110569102,7.5,12.239057610602
1992-06-30,1.99501660441559,4.47956690546759,6.5,12.24622081308
1992-09-30,1.99501660441559,4.27543162071911,5.75,12.2563141369669
1992-12-31,2.39282867101899,4.07199849559087,5.75,12.2766243014811
1993-03-31,2.39282867101899,3.8583280589584,5.59782608695652,12.2835196796637
1993-06-30,2.39282867101899,3.69766396565476,5.25,12.2891584107118
1993-09-30,2.39282867101899,3.56204439132513,4.75,12.2902023745576
1993-12-31,2.39282867101899,3.4725971510426,4.75,12.3086021576764
1994-03-31,1.99501660441559,3.40582393263475,4.75,12.3251925649369
1994-06-30,2.39282867101899,3.36637047205042,4.75,12.3375569442871
1994-09-30,2.39282867101899,3.29445382673319,5.5,12.3451343427909
1994-12-31,1.99501660441559,3.25616740480824,7.05,12.3548805064571
1995-03-31,2.39282867101899,3.16286283949863,7.5,12.3545616137877
1995-06-30,3.58389654858872,3.08699477258855,7.5,12.3582055767855
1995-09-30,3.98013234126724,3.05098694965567,7.5,12.3808071600367
1995-12-31,2.79024549457006,2.98243586520281,7.5,12.3810590322884
1996-03-31,2.39282867101899,2.91938139347613,7.5,12.397927779681
1996-06-30,2.79024549457006,2.88339502726807,7.5,12.405017762128
1996-09-30,1.99501660441559,2.81756378085729,7,12.4129282657609
1996-12-31,2.39282867101899,2.70620161016231,6.175,12.421978064653
1997-03-31,2.79024549457006,2.63186664186973,6,12.4280635327823
1997-06-30,1.59680850781498,2.60832015704839,5.5,12.4571114802831
1997-09-30,0.799201065069223,2.6176155347506,5,12.4584215385679
1997-12-31,2.79024549457006,2.55636822204329,5,12.4725438495796
1998-03-31,1.99501660441559,2.57103655335888,5,12.4793730457223
1998-06-30,1.99501660441559,2.55867321318606,5,12.4890461500542
1998-09-30,1.19820359191935,2.49307653803256,5,12.5082306837724
1998-12-31,1.59680850781498,2.43952620733607,4.76190476190476,12.5235040360548
1999-03-31,1.99501660441559,2.41622192950437,4.75,12.5312130617666
1999-06-30,1.59680850781498,2.39015945749181,4.75,12.5344479042068
1999-09-30,3.18726785967075,2.35540975399351,4.75,12.5461490934572
1999-12-31,2.39282867101899,2.37648831637355,5,12.5630335485787
2000-03-31,2.79024549457006,2.37121643511889,5.5,12.5666519574946
2000-06-30,1.99501660441559,2.35588058194732,6,12.5758414889801
2000-09-30,2.39282867101899,2.3805343410237,6.25,12.5777775712799
2000-12-31,2.39282867101899,2.39426375546884,6.25,12.5740227848756
2001-03-31,3.98013234126724,2.39385512412621,5.54545454545455,12.5841322979477
2001-06-30,3.18726785967075,2.40343286023412,5,12.5923753213736
2001-09-30,2.79024549457006,2.42463979300087,4.775,12.6044023571373
2001-12-31,3.58389654858872,2.41925463717755,4.27631578947368,12.6163163180913
2002-03-31,2.79024549457006,2.3722203574945,4.25,12.6238450406604
2002-06-30,2.39282867101899,2.2879962885985,4.72368421052632,12.640436143681
2002-09-30,2.79024549457006,2.27097126884807,4.75,12.6439242693375
2002-12-31,2.79024549457006,2.22586098202372,4.75,12.6512455276454
2003-03-31,3.18726785967075,2.21103773311668,4.75,12.6522381407647
2003-06-30,1.99501660441559,2.2194937365855,4.75,12.655583346777
2003-09-30,2.79024549457006,2.2439854155204,4.75,12.6723035419609
2003-12-31,2.79024549457006,2.25657455839904,5.22619047619048,12.6887888761536
2004-03-31,2.79024549457006,2.27789228703385,5.25,12.6969995973878
2004-06-30,2.39282867101899,2.30323313289522,5.25,12.7036823221175
2004-09-30,2.39282867101899,2.29680571890451,5.25,12.7112201794115
2004-12-31,3.18726785967075,2.30001294992265,5.25,12.718908247935
2005-03-31,2.39282867101899,2.32009810028791,5.48809523809524,12.7267456245505
2005-06-30,2.39282867101899,2.34871949195187,5.5,12.7312123325316
2005-09-30,2.39282867101899,2.37237347546287,5.5,12.7418844973139
2005-12-31,2.79024549457006,2.40906767876866,5.5,12.7501860326423
2006-03-31,3.18726785967075,2.45449975294428,5.5,12.7522963006873
2006-06-30,3.18726785967075,2.48960404678822,5.75,12.754043753728
2006-09-30,2.79024549457006,2.48940936523662,6,12.7687095794904
2006-12-31,2.39282867101899,2.47824354434827,6.25,12.7816602029753
2007-03-31,2.39282867101899,2.46474227583787,6.25,12.7963617323168
2007-06-30,3.58389654858872,2.46008097209484,6.25,12.8022683000137
2007-09-30,3.58389654858872,2.44850409499948,6.5,12.8132642551774
2007-12-31,4.77142834610953,2.45942897866858,6.74892253422046,12.8182239559682
2008-03-31,4.37597601533371,2.4716167881687,7.22372393700068,12.8295293899329
2008-06-30,4.77142834610953,2.47714903238333,7.24998741601592,12.8319094669565
2008-09-30,4.77142834610953,2.48882933343639,7.02272727272727,12.8393503878008
2008-12-31,2.79024549457006,2.50031381848219,4.34526121157324,12.8348466246198
2009-03-31,3.58389654858872,2.50509813598466,3.24997857231785,12.8449220226823
2009-06-30,2.79024549457006,2.52048296970812,3.00006206944982,12.8505940234126
2009-09-30,3.18726785967075,2.54321802119953,3,12.8535292282979
2009-12-31,3.18726785967075,2.54418349897776,3.73809523809524,12.8609232857576
2010-03-31,3.18726785967075,2.52826618412503,3.9775,12.8659292946001
2010-06-30,1.59680850781498,2.5181911707783,4.5,12.8711752268643
2010-09-30,2.39282867101899,2.49926030688982,4.5,12.8779578845126
2010-12-31,1.59680850781498,2.46953181925859,4.75,12.8881664621195
2011-03-31,3.18726785967075,2.44407700624581,4.75,12.8855011539492
2011-06-30,3.18726785967075,2.45405819590295,4.75,12.8972353583358
2011-09-30,1.59680850781498,2.46294612900112,4.75,12.9105355609884
2011-12-31,2.39282867101899,2.47132360640281,4.3,12.9219861944187
2012-03-31,1.59680850781498,2.48097476073953,4.25,12.9311980293164
2012-06-30,1.99501660441559,2.48494634270062,3.5375,12.9387457811139
2012-09-30,2.79024549457006,2.47240023477285,3.5,12.944644810579
2012-12-31,1.99501660441559,2.45272611098668,3.0275,12.9499557151562
2013-03-31,1.99501660441559,2.44326175273994,3,12.9528980243323
2013-06-30,2.39282867101899,2.41580797942776,2.75,12.9572316256928
2013-09-30,2.79024549457006,2.38096707327344,2.5,12.9652743849615
2013-12-31,3.18726785967075,2.34760822232645,2.5,12.9735245645984
2014-03-31,1.99501660441559,2.30389890438585,2.5,12.980276634774
2014-06-30,2.79024549457006,2.23631682622094,2.5,12.985645198079
